Cluster;Star;X;Y;Color;Size;Sphere of Influence;Planet;Type;Hazard;Tectonics;Weather;Thermal;Biohazard;Biological Units;Mineral Value;Axial Tilt;Density;Radius;Gravity;Temp;Day Duration;Atmosphere;DistFromStar
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;IV;Halide;1;1;1;1;1;0;288;-17;63;31;19;-172;290;0;3096
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;IV;Emerald;3;3;1;1;1;0;2625;-8;58;98;56;-76;247;0;3277
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;IV;Quasi-Degenerate;4;4;1;1;1;0;900;8;153;29;44;-134;273;0;2930
Crateris;Epsilon;630.1;587.5;yellow;dwarf;Kohr-Ah;IV;Primordial;8;8;2;1;2;6;288;20;96;81;77;-199;250;92;5732
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;IV;Yttric;4;4;2;1;1;0;273;-40;155;35;54;-85;205;14;3573
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;IV;Telluric;4;3;3;1;1;0;0;-6;102;87;88;-180;235;83;3642
Crateris;Theta;621.5;625.5;red;dwarf;Kohr-Ah;IV;Gas Giant;8;2;8;1;1;0;0;14;20;1199;239;-252;114;65535;7441
Crucis;Beta;547.9;668.7;green;dwarf;Kohr-Ah;IV;Green;4;3;3;1;1;0;185;13;105;37;38;-153;280;105;3945
Equulei;Beta;602.0;672.9;blue;dwarf;Kohr-Ah;IV;Chlorine;5;5;1;1;1;0;191;9;97;91;88;-164;161;0;7466
Equulei;Alpha;591.0;662.4;blue;dwarf;Kohr-Ah;IV;Cyanic;2;2;1;1;1;0;95;-10;32;27;8;-146;212;0;5457
Eridani;Beta;595.8;764.5;white;dwarf;Kohr-Ah;IV;Ultraviolet;5;5;2;1;1;0;1362;-4;155;87;134;-139;279;110;7044
Fornacis;Epsilon;604.1;791.6;orange;dwarf;Kohr-Ah;IV;Copper;2;2;2;1;1;0;429;28;154;26;40;-212;250;12;3717
Fornacis;Delta;597.9;797.9;green;dwarf;Kohr-Ah;IV;Xenolithic;2;2;1;1;1;0;345;-3;96;80;76;-176;256;10;5975
Fornacis;Zeta;610.4;800.0;orange;dwarf;Kohr-Ah;IV;Carbide;3;3;1;1;1;0;89;-16;98;30;29;-227;200;0;6596
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;IV;Water;4;4;2;1;1;0;191;33;102;92;93;-81;255;11;2392
Fornacis;Alpha;537.5;787.5;white;dwarf;Kohr-Ah;IV;Acid;2;2;1;1;1;0;45;-8;105;33;34;-115;187;0;5102
Geminorum;Beta;497.9;779.1;white;dwarf;Kohr-Ah;IV;Cyanic;2;2;1;1;1;20;33;13;32;26;8;-117;159;0;5188
Geminorum;Gamma;489.5;745.8;orange;dwarf;Kohr-Ah;IV;Gas Giant;8;3;8;1;1;0;0;-1;21;968;203;-208;142;65535;3268
Geminorum;Alpha;495.8;779.1;white;giant;Kohr-Ah;IV;Gas Giant;10;3;8;8;1;0;0;-5;21;754;158;1387;121;65535;7247
Horologii;Eta;739.5;785.4;red;dwarf;Kohr-Ah;IV;Metal;2;2;2;1;1;0;976;-12;154;30;46;-252;266;76;7401
Horologii;Iota;708.3;799.3;red;dwarf;Kohr-Ah;IV;Ultramarine;4;3;3;1;1;0;376;-5;33;28;9;-240;187;88;3248
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;IV;Ruby;1;1;1;1;1;0;2150;15;58;106;61;-242;169;0;3696
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;IV;Noble;2;2;1;1;1;0;246;-15;34;27;9;-245;251;0;4416
Horologii;Alpha;720.8;754.1;yellow;dwarf;Kohr-Ah;IV;Crimson;3;1;3;1;1;0;180;9;100;33;33;-187;162;86;4273
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;IV;Cimmerian;3;3;1;1;1;0;49;-16;155;27;41;-247;276;0;4928
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;IV;Selenic;1;1;1;1;1;0;84;3;59;35;20;-242;262;0;3634
Hydrae;Alpha;733.3;650.0;white;dwarf;Kohr-Ah;IV;Auric;2;2;2;1;1;0;444;7;153;29;44;-121;165;13;5481
Hydrae;Gamma;816.6;625.0;red;dwarf;Kohr-Ah;IV;Gas Giant;8;1;8;1;1;0;0;13;20;481;96;-250;89;65535;6547
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;IV;Hydrocarbon;3;3;1;1;1;0;129;-42;98;111;108;-153;230;0;3887
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;IV;Gas Giant;8;3;8;1;1;0;0;-22;20;876;175;-208;128;65535;3289
Reticuli;Beta;702.0;529.1;blue;dwarf;Kohr-Ah;IV;Treasure;3;3;1;1;1;0;792;1;202;36;72;-127;270;0;4105
Reticuli;Alpha;731.2;506.2;orange;dwarf;Kohr-Ah;IV;Vinylogous;3;3;1;1;1;0;89;0;99;86;85;-224;223;0;5722
Reticuli;Gamma;741.6;508.3;green;dwarf;Kohr-Ah;IV;Azure;5;5;1;1;1;0;93;11;59;33;19;-187;194;14;7636
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;IV-a;Metal;4;3;3;1;2;66;1288;3;155;29;44;-180;248;92;3642
Crateris;Epsilon;630.1;587.5;yellow;dwarf;Kohr-Ah;IV-a;Halide;3;3;1;1;1;0;222;-12;63;33;20;-199;157;0;5732
Crateris;Theta;621.5;625.5;red;dwarf;Kohr-Ah;IV-a;Azure;6;6;1;1;1;0;108;-2;62;37;22;-252;43977;10;7441
Geminorum;Gamma;489.5;745.8;orange;dwarf;Kohr-Ah;IV-a;Radioactive;3;3;1;1;1;0;1440;-19;199;33;65;-208;298;0;3268
Geminorum;Alpha;495.8;779.1;white;giant;Kohr-Ah;IV-a;Cyanic;7;2;2;7;1;0;22;-2;34;26;8;682;266;98;7247
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;IV-a;Selenic;3;3;1;1;1;0;183;10;58;29;16;-242;180;0;3696
Hydrae;Gamma;816.6;625.0;red;dwarf;Kohr-Ah;IV-a;Chondrite;6;6;1;1;1;0;34;20;102;37;37;-250;169;0;6547
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;IV-a;Acid;4;4;1;1;1;0;181;20;103;31;31;-153;43430;0;3887
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;IV-a;Copper;2;2;2;1;1;0;147;-12;157;30;47;-208;203;15;3289
Crateris;Theta;621.5;625.5;red;dwarf;Kohr-Ah;IV-b;Azure;4;4;1;1;1;0;87;34;59;27;15;-252;279;10;7441
Geminorum;Alpha;495.8;779.1;white;giant;Kohr-Ah;IV-b;Lanthanide;8;7;2;7;1;0;1265;19;157;33;51;648;26678;98;7247
Geminorum;Gamma;489.5;745.8;orange;dwarf;Kohr-Ah;IV-b;Copper;2;1;2;1;1;0;222;-18;145;31;44;-208;218;11;3268
Hydrae;Gamma;816.6;625.0;red;dwarf;Kohr-Ah;IV-b;Cimmerian;3;3;1;1;1;0;87;-19;150;35;52;-250;277;0;6547
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;IV-b;Super-Dense;7;7;3;1;1;0;186;13;206;27;55;-208;216;109;3289
Crateris;Theta;621.5;625.5;red;dwarf;Kohr-Ah;IV-c;Pellucid;2;2;1;1;1;0;125;-3;61;29;17;-252;241;0;7441
Geminorum;Gamma;489.5;745.8;orange;dwarf;Kohr-Ah;IV-c;Green;5;5;3;1;5;44;255;18;96;28;26;-208;244;109;3268
Hydrae;Gamma;816.6;625.0;red;dwarf;Kohr-Ah;IV-c;Infrared;4;4;2;1;1;10;129;11;105;32;33;-250;216;77;6547
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;IV-c;Copper;3;3;2;1;1;0;501;-17;147;28;41;-208;231;15;3289
Crateris;Theta;621.5;625.5;red;dwarf;Kohr-Ah;IV-d;Purple;4;4;1;1;1;0;57;-4;61;28;17;-252;230;0;7441
Hydrae;Gamma;816.6;625.0;red;dwarf;Kohr-Ah;IV-d;Azure;3;3;1;1;1;0;96;-20;59;26;15;-250;29292;12;6547
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;IX;Quasi-Degenerate;3;3;1;1;1;0;0;8;153;35;53;-187;258;0;7599
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;IX;Telluric;7;2;2;1;7;70;201;-3;97;78;75;-210;274;92;7923
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;IX;Xenolithic;4;4;1;1;1;0;114;9;102;84;85;-145;153;10;7772
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;IX;Gas Giant;8;3;8;1;1;0;0;-3;20;1116;223;-230;153;65535;7353
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;IX-a;Treasure;3;3;1;1;1;0;804;33;209;37;77;-210;286;0;7923
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;IX-a;Alkali;2;2;1;1;1;0;162;-3;99;29;28;-230;183;14;7353
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;IX-b;Cimmerian;3;3;1;1;1;0;48;20;152;33;50;-210;55967;0;7923
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;V;Green;4;4;3;1;1;0;340;23;99;28;27;-218;248;86;4680
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;V;Hydrocarbon;3;3;1;1;1;0;203;7;99;88;87;-183;189;0;3899
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;V;Ultramarine;3;2;3;1;1;0;198;-9;34;33;11;-151;292;84;3789
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;V;Gas Giant;8;3;8;1;1;0;0;-3;20;1400;280;-95;126;65535;3993
Chamaeleonis;Eta;508.3;714.5;blue;dwarf;Kohr-Ah;V;Gas Giant;8;2;8;1;1;0;0;28;20;303;60;-157;101;65535;6521
Crateris;Epsilon;630.1;587.5;yellow;dwarf;Kohr-Ah;V;Cimmerian;4;4;1;1;1;0;103;12;144;28;40;-206;262;0;6916
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;V;Magma;7;7;1;1;1;0;39;-14;149;111;165;-186;158;0;4183
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;V;Gas Giant;8;2;8;1;1;0;0;16;21;955;200;-99;84;65535;4162
Equulei;Alpha;591.0;662.4;blue;dwarf;Kohr-Ah;V;Cyanic;3;3;1;1;1;0;126;22;32;26;8;-166;46639;0;7626
Fornacis;Zeta;610.4;800.0;orange;dwarf;Kohr-Ah;V;Halide;1;1;1;1;1;0;446;-5;60;27;16;-231;175;0;7857
Fornacis;Alpha;537.5;787.5;white;dwarf;Kohr-Ah;V;Sapphire;3;3;1;1;1;0;2500;9;60;77;46;-124;231;0;5683
Fornacis;Epsilon;604.1;791.6;orange;dwarf;Kohr-Ah;V;Noble;2;2;1;1;1;0;179;-8;34;31;10;-224;251;0;5873
Fornacis;Delta;597.9;797.9;green;dwarf;Kohr-Ah;V;Ultramarine;2;1;2;1;1;0;268;-5;34;26;8;-180;202;90;6487
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;V;Gas Giant;8;2;8;1;1;0;0;4;21;813;170;-150;154;65535;5836
Geminorum;Beta;497.9;779.1;white;dwarf;Kohr-Ah;V;Vinylogous;4;4;1;1;1;0;129;-19;101;104;105;-128;173;0;6046
Geminorum;Gamma;489.5;745.8;orange;dwarf;Kohr-Ah;V;Magma;8;8;1;1;1;0;138;21;153;91;139;-224;217;0;5847
Geminorum;Alpha;495.8;779.1;white;giant;Kohr-Ah;V;Quasi-Degenerate;7;6;1;6;1;0;925;-18;150;33;49;366;261;0;7795
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;V;Ultramarine;3;3;2;1;1;0;354;4;32;28;8;-249;280;88;5707
Horologii;Alpha;720.8;754.1;yellow;dwarf;Kohr-Ah;V;Infrared;5;3;3;1;5;39;192;7;96;37;35;-197;276;93;5402
Horologii;Iota;708.3;799.3;red;dwarf;Kohr-Ah;V;Vinylogous;2;2;1;1;1;0;105;16;103;109;112;-244;222;0;4124
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;V;Hydrocarbon;5;5;1;1;1;0;96;37;99;105;103;-248;185;0;5601
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;V;Gas Giant;8;2;8;1;1;0;0;1;21;1322;277;-245;156;65535;4492
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;V;Gas Giant;8;1;8;1;1;0;0;21;21;913;191;-248;152;65535;5246
Hydrae;Alpha;733.3;650.0;white;dwarf;Kohr-Ah;V;Metal;2;2;2;1;1;27;1171;-17;143;28;40;-130;200;96;6195
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;V;Radioactive;3;3;1;1;1;0;896;34;192;35;67;-213;187;0;3922
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;V;Carbide;4;4;1;1;1;0;97;-6;104;28;29;-162;219;0;4563
Reticuli;Beta;702.0;529.1;blue;dwarf;Kohr-Ah;V;Lanthanide;6;6;1;1;1;0;595;-2;146;34;49;-148;216;0;5654
Reticuli;Alpha;731.2;506.2;orange;dwarf;Kohr-Ah;V;Iodine;4;4;1;1;1;0;82;-6;62;93;57;-227;256;12;6624
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;V-a;Radioactive;1;1;1;1;1;0;912;-19;200;25;50;-95;179;0;3993
Chamaeleonis;Eta;508.3;714.5;blue;dwarf;Kohr-Ah;V-a;Urea;6;6;2;1;1;0;33;-6;60;25;15;-157;272;98;6521
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;V-a;Treasure;1;1;1;1;1;0;1278;13;204;34;69;-99;163;0;4162
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;V-a;Carbide;3;3;1;1;1;0;94;-13;98;35;34;-150;29332;0;5836
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;V-a;Cimmerian;4;4;1;1;1;0;78;11;145;36;52;-245;165;0;4492
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;V-a;Azure;6;6;2;1;1;0;132;14;60;25;15;-248;299;13;5246
Horologii;Iota;708.3;799.3;red;dwarf;Kohr-Ah;V-a;Dust;3;3;2;1;1;0;36;-12;63;30;18;-244;203;15;4124
Chamaeleonis;Eta;508.3;714.5;blue;dwarf;Kohr-Ah;V-b;Auric;2;2;1;1;2;85;1890;-7;151;34;51;-157;233;12;6521
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;V-b;Auric;2;2;2;1;2;74;1104;-8;144;33;47;-95;194;13;3993
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;V-b;Acid;4;4;1;1;1;0;240;-17;101;30;30;-99;266;0;4162
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;V-b;Treasure;2;2;1;1;1;0;1068;3;208;29;60;-150;248;0;5836
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;V-b;Infrared;4;3;3;1;1;9;192;-9;102;30;30;-245;233;81;4492
Horologii;Iota;708.3;799.3;red;dwarf;Kohr-Ah;V-b;Pellucid;1;1;1;1;1;0;175;-25;59;28;16;-244;169;0;4124
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;V-b;Pellucid;3;3;1;1;1;0;150;-30;61;27;16;-248;250;0;5246
Chamaeleonis;Eta;508.3;714.5;blue;dwarf;Kohr-Ah;V-c;Cyanic;3;3;1;1;1;0;90;9;33;35;11;-157;266;0;6521
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;V-c;Selenic;2;2;1;1;1;0;75;6;60;31;18;-95;176;0;3993
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;V-c;Noble;3;3;1;1;1;0;176;-23;33;25;8;-150;217;0;5836
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;V-c;Chondrite;6;6;1;1;1;0;49;0;98;37;36;-245;239;0;4492
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;V-c;Infrared;3;2;3;1;1;0;141;-2;100;33;33;-248;151;78;5246
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;V-d;Metal;4;4;3;1;2;40;712;-26;157;32;50;-95;234;99;3993
Chamaeleonis;Eta;508.3;714.5;blue;dwarf;Kohr-Ah;V-d;Yttric;5;2;1;1;5;18;390;-18;157;32;50;-157;284;10;6521
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;V-d;Selenic;2;2;1;1;1;0;117;-6;58;30;17;-248;51757;0;5246
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;VI;Gas Giant;8;2;8;1;1;0;0;-2;21;1116;234;-226;140;65535;6358
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;VI;Purple;2;2;1;1;1;0;132;22;60;28;16;-194;233;0;5059
Chamaeleonis;Alpha;497.1;710.4;white;dwarf;Kohr-Ah;VI;Quasi-Degenerate;5;5;1;1;1;0;925;-6;153;35;53;-111;251;0;4826
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VI;Gas Giant;8;1;8;1;1;0;0;13;20;852;170;-163;123;65535;4615
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;VI;Xenolithic;4;4;2;1;1;0;114;1;97;95;92;-113;242;14;4955
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;VI;Gas Giant;8;1;8;1;1;0;0;12;20;1224;244;-195;94;65535;5203
Fornacis;Epsilon;604.1;791.6;orange;dwarf;Kohr-Ah;VI;Vinylogous;2;2;1;1;1;0;112;7;97;103;99;-228;279;0;6977
Fornacis;Alpha;537.5;787.5;white;dwarf;Kohr-Ah;VI;Vinylogous;4;4;1;1;1;0;9;-15;98;75;73;-135;47594;0;6665
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;VI;Gas Giant;8;1;8;1;1;0;0;-16;20;1183;236;-160;93;65535;6913
Geminorum;Beta;497.9;779.1;white;dwarf;Kohr-Ah;VI;Yttric;6;3;1;1;6;3;200;3;157;34;53;-133;298;10;6458
Horologii;Alpha;720.8;754.1;yellow;dwarf;Kohr-Ah;VI;Metal;2;2;2;1;1;0;848;5;154;35;53;-209;175;93;7714
Horologii;Iota;708.3;799.3;red;dwarf;Kohr-Ah;VI;Crimson;2;2;2;1;1;0;243;15;96;25;24;-250;290;80;6496
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VI;Gas Giant;8;1;8;1;1;0;0;21;21;1454;305;-248;141;65535;5612
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;VI;Gas Giant;8;1;8;1;1;0;0;14;20;1403;280;-250;104;65535;6586
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;VI;Gas Giant;8;3;8;1;1;0;0;19;20;1398;279;-251;108;65535;6905
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;VI;Gas Giant;8;3;8;1;1;0;0;2;20;879;175;-251;98;65535;7264
Hydrae;Alpha;733.3;650.0;white;dwarf;Kohr-Ah;VI;Lanthanide;8;8;1;1;1;0;525;14;152;34;51;-144;171;0;7561
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;VI;Crimson;4;3;3;1;1;0;65;-20;101;36;36;-218;219;105;4597
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;VI;Gas Giant;8;1;8;1;1;0;0;12;20;857;171;-170;129;65535;5324
Reticuli;Beta;702.0;529.1;blue;dwarf;Kohr-Ah;VI;Copper;1;1;1;1;1;0;474;6;143;26;37;-158;273;15;6690
Reticuli;Alpha;731.2;506.2;orange;dwarf;Kohr-Ah;VI;Cimmerian;2;2;1;1;1;0;46;9;150;34;51;-230;171;0;7369
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;VI-a;Azure;3;3;1;1;1;5;135;-10;62;27;16;-226;228;11;6358
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VI-a;Carbide;3;3;1;1;1;0;83;15;104;32;33;-163;256;0;4615
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;VI-a;Chondrite;6;6;1;1;1;0;104;-24;97;29;28;-195;56177;0;5203
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;VI-a;Halide;1;1;1;1;1;0;158;28;61;26;15;-113;245;0;4955
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;VI-a;Alkali;5;4;1;1;5;44;234;-16;97;29;28;-160;165;15;6913
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VI-a;Crimson;3;2;3;1;1;8;140;29;104;34;35;-248;251;79;5612
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;VI-a;Urea;6;6;2;1;2;86;35;-16;61;31;18;-251;281;90;7264
Horologii;Lambda;694.0;751.4;red;dwarf;Kohr-Ah;VI-a;Dust;4;4;1;1;1;0;72;29;61;29;17;-251;260;11;6905
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;VI-a;Pellucid;1;1;1;1;1;0;200;-2;61;37;22;-250;232;0;6586
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;VI-a;Opalescent;5;5;1;1;1;0;291;39;61;29;17;-170;172;0;5324
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;VI-b;Ultramarine;3;3;2;1;1;0;394;-15;32;35;11;-226;27452;105;6358
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VI-b;Quasi-Degenerate;4;4;1;1;1;0;150;-11;151;25;37;-163;173;0;4615
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;VI-b;Treasure;3;3;1;1;1;0;522;-26;195;32;62;-195;234;0;5203
Fornacis;Beta;564.5;802.0;blue;dwarf;Kohr-Ah;VI-b;Ultramarine;2;1;2;1;1;0;190;2;33;36;11;-160;271;94;6913
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;VI-b;Chondrite;6;6;1;1;1;0;94;-13;101;36;36;-250;197;0;6586
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VI-b;Selenic;3;3;1;1;1;0;156;6;62;37;22;-248;212;0;5612
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;VI-b;Pellucid;3;3;1;1;1;0;0;-12;59;33;19;-251;185;0;7264
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;VI-b;Quasi-Degenerate;4;4;1;1;1;0;600;-14;146;35;51;-170;231;0;5324
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;VI-c;Alkali;2;2;1;1;1;0;297;-3;103;31;31;-226;181;11;6358
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VI-c;Chondrite;6;6;1;1;1;0;130;-13;104;35;36;-248;229;0;5612
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;VI-c;Noble;1;1;1;1;1;0;176;22;33;37;12;-251;252;0;7264
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;VI-c;Azure;6;6;1;1;1;0;57;-17;59;28;16;-250;231;15;6586
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;VI-d;Selenic;2;2;1;1;1;0;153;-3;58;36;20;-226;162;0;6358
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VI-d;Metal;6;4;3;1;6;62;1222;12;149;29;43;-248;196;91;5612
Horologii;Beta;712.5;725.0;red;dwarf;Kohr-Ah;VI-d;Metal;4;4;2;1;1;0;569;8;143;28;40;-251;56921;81;7264
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;VI-d;Super-Dense;5;5;2;1;1;0;159;2;203;36;73;-250;271;94;6586
Antares;Prime;647.9;754.1;orange;dwarf;Kohr-Ah;VII;Water;5;5;1;1;1;0;132;3;103;92;94;-230;216;13;7632
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VII;Gas Giant;8;1;8;1;1;0;0;-8;20;1323;264;-170;117;65535;5261
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;VII;Gas Giant;8;2;8;1;1;0;0;-10;20;1159;231;-202;80;65535;6248
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;VII;Acid;3;3;1;1;1;0;195;-13;105;28;29;-127;222;0;5977
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;VII;Chlorine;6;6;1;1;1;0;258;6;97;78;75;-204;202;0;6669
Geminorum;Beta;497.9;779.1;white;dwarf;Kohr-Ah;VII;Yttric;4;4;1;1;1;0;339;14;152;28;42;-146;167;10;7798
Horologii;Iota;708.3;799.3;red;dwarf;Kohr-Ah;VII;Metal;5;5;2;1;1;0;542;4;147;36;52;-251;27583;86;7165
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VII;Maroon;3;3;1;1;1;0;325;15;58;87;50;-250;282;13;6272
Horologii;Zeta;744.3;753.8;red;dwarf;Kohr-Ah;VII;Crimson;3;3;2;1;1;0;233;47;97;32;31;-252;227;110;7620
Lipi;Beta;550.0;839.5;orange;dwarf;Kohr-Ah;VII;Noble;1;1;1;1;1;0;182;22;32;25;8;-221;284;0;5159
Lipi;Alpha;556.2;864.5;green;dwarf;Kohr-Ah;VII;Copper;2;2;1;1;1;0;0;6;147;26;38;-178;283;15;6231
Reticuli;Beta;702.0;529.1;blue;dwarf;Kohr-Ah;VII;Copper;2;2;1;1;1;0;540;22;144;26;37;-164;249;14;7352
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;VII-a;Metal;5;4;2;1;4;66;842;-6;149;29;43;-202;228;99;6248
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VII-a;Noble;1;1;1;1;1;0;148;0;32;32;10;-170;214;0;5261
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VII-a;Urea;7;7;2;1;1;0;38;2;63;26;16;-250;238;85;6272
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VII-b;Lanthanide;6;6;1;1;1;0;770;-27;152;29;44;-170;174;0;5261
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;VII-b;Purple;7;4;1;1;7;35;45;30;63;29;18;-202;202;0;6248
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VII-c;Alkali;5;5;2;1;1;0;111;8;104;33;34;-170;191;14;5261
Chamaeleonis;Iota;514.5;687.5;green;dwarf;Kohr-Ah;VIII;Ultraviolet;5;5;2;1;1;0;454;-44;157;109;171;-181;190;80;6617
Chamaeleonis;Epsilon;487.9;720.1;yellow;dwarf;Kohr-Ah;VIII;Dust;3;3;1;1;1;0;135;-4;61;25;15;-205;243;14;6721
Crateris;Delta;620.0;593.5;yellow;dwarf;Kohr-Ah;VIII;Crimson;2;1;2;1;1;0;118;-10;97;37;35;-207;223;76;7290
Crateris;Gamma;616.6;600.0;white;dwarf;Kohr-Ah;VIII;Selenic;3;3;1;1;1;0;54;-27;61;37;22;-139;159;0;7010
Horologii;Kappa;688.9;780.3;red;dwarf;Kohr-Ah;VIII;Maroon;1;1;1;1;1;0;216;-39;61;110;67;-252;31054;12;7781
